mwes counts close1 close2 close3 close4 close5
grand 48996 important petit immense grands gros
se_adresser 546 donner_le_parole invit faire_appel rendre_service accueilli
se_avérer 963 se_révéler se_avèr se_révèler se_avèrer se_avér
se_appuyer 1391 se_baser se_appuenir reposer se_focaliser mettre_accent
soutenir 4997 appuyer recevoir_soutien défendre soutien désavouer
attirer_attention 416 recevoir_éloge susciter_attention faire_impression mettre_en_avant tenir_discours
mettre_fin 1359 mettre_un_terme prendre_fin aboutir tourner_court renoncer
faire_progrès 40 réussie apporter_contribution progrès_accomplir apporter_attention forcing
faire_partie 10727 appartenir intégrer englober constituer rattacher
se_diriger 838 faire_route bifurquer faire_voile se_avancer se_déplacer
tenir_compte 654 tenir_compter compter_tenir prendre_en_considération choix_effectuer gérable
prendre_en_compte 3004 terme rétroplanification rurbanisation étendant compter_tenir
se_lever 212 sanglot se_coucher frayeur trembler hurler
accomplir_tâche 27 flouer prendre_précaution faire_profit laisser_soin faire_exercice
voler_à_secours 21 Taciturne venir_à_secours libidineux échanson Schomberg
remettre_le_main_à_le_pâte 1 Waysand osmosion Solaniro Lyachenko Boulengé
mettre_fin 1359 mettre_un_terme prendre_fin aboutir tourner_court renoncer
petit 25064 grand petite gros modeste grands
magasin 1745 boutique supermarché épicerie supérette épicérie
homme 30688 femme poigne cavalier diplomat politique
chanter 3063 danser interpréter refrain entonner fredonner
super 1712 vilain lourds Super sentai Pokémon
premier 96173 deuxième troisième second quatrième dernier
impossible 1371 possible difficile inutile facile dangereux
courir 3337 transitoire publication annuel période permettre
lent 772 rapide tempos bruyant accéler saccadé
flexible 133 sophistiqué sophistiquer starter transparir vast
difficile 3327 compliqué compliquer facile pénible difficulté
dormir 493 se_coucher errer se_éveiller promener se_promener
manger 1120 cuisiner cueillir délicieux dormir mange
aimer 2894 aimais plaire voulais iras sors
tomber 2820 laître se_écrouler brûl jetter jeter
roi 17862 Ier reine réger régent suzerain
guerre 30258 séminol Ans sécession médique Vétéran
compter 14788 dénombrer comptabiliser totaliser posséder comprendre
voler 1886 subtiliser dérober se_en_servir vole faire_feu
attention 785 discrétion appréciation attentif dérangeant bizarrerie
