mwes counts close1 close2 close3 close4 close5
grand 48996 important petit immense considérable énorme
se_adresser 546 faire_appel plaire se_en_prendre incomber avoir_accès
se_avérer 963 se_révéler se_montrer se_avèrer se_avèr juger
se_appuyer 1391 se_baser mettre_accent se_focaliser reposer avoir_incidence
soutenir 4997 appuyer défendre rejeter motiver prôner
attirer_attention 416 attirer saluer susciter séduire mettre_en_avant
mettre_fin 1359 mettre_un_terme prendre_fin aboutir renoncer se_opposer
faire_progrès 40 exercer_influence avoir_influence connaître_développement subir_modification retentissement
faire_partie 10727 se_composer prendre_nom appartenir constituer regrouper
se_diriger 838 faire_route se_avancer migrer bifurquer se_orienter
tenir_compte 654 découler déterminer minimiser respecter garantir
prendre_en_compte 3004 conforme applicable tenir_compte diplocaryotique imputable
se_lever 212 crier se_coucher souffler minuit se_en_aller
accomplir_tâche 27 prendre_ordre prendre_contrôle effectuer_opération accomplir_mission se_accaparer
voler_à_secours 21 venir_à_secours puiné bisaïeul Poliorcète mettre_en_déroute
remettre_le_main_à_le_pâte 1 il_en_être_pas Ygdrassil ichneumoneus se_aille gaigner
mettre_fin 1359 mettre_un_terme prendre_fin aboutir renoncer se_opposer
