mwes counts close1 close2 close3 close4 close5
avoir_lieu 9482 se_dérouler eurer_lieu à_lieu précédre ouvoir_lieu
se_trouver 12005 se_situer se_dresser se_retrouver situer situé
faire_partie 10727 appartenir regrouper englober constituer intégrer
se_rendre 4039 retourner se_réfugier rentrer rendre_visite revenir
se_situer 4872 se_trouver situer se_étendre situé jouxte
avoir_droit 893 donner_droit avoir_obligation recev avoir_moyen avoir_possibilité
jouer_rôle 2537 avoir_rôle tenir_rôle impliquer rôle_jouer avoir_influence
se_produire 2326 se_produisir survenir se_passer survenu faire_prestation
avoir_besoin 1379 désirer prendre_garde avoir_assez suffire à_besoin
tenir_compte 654 tenir_compter implique redéfinisser compter_tenir choix_effectuer
se_engager 2349 se_enrôler engager revenir rentrer mener_combat
faire_appel 1034 avoir_recours recourir demander se_associer solliciter
