mwes counts close1 close2 close3 close4 close5
grand 48996 important petit immense gros énorme
se_adresser 546 invit se_presre accueilli donner_le_parole rendre_service
se_avérer 963 se_révéler se_révèler se_avér se_avèr se_avèrer
se_appuyer 1391 se_baser se_appuenir se_focaliser mettre_accent reposer
soutenir 4997 appuyer défendre épauler conforter politique_mener
attirer_attention 416 susciter_attention susciter nuir insistant scandaliser
mettre_fin 1359 mettre_un_terme prendre_fin renoncer tourner_court mèner
faire_progrès 40 appris tactiquement avoir_satisfaction acquière prendre_importance
faire_partie 10727 appartenir regrouper englober constituer intégrer
se_diriger 838 faire_route bifurquer se_déplacer faire_voile vers
tenir_compte 654 tenir_compter implique redéfinisser compter_tenir choix_effectuer
prendre_en_compte 3004 terme mathématisation chemitta nocivité rétroplanification
se_lever 212 sanglot frayeur se_coucher se_illuminer retentir
accomplir_tâche 27 faire_profit apporter_assistance effectuer_contrôle prendre_précaution venir_aide
voler_à_secours 21 conspir conscrire appeler_à_secours venir_à_secours Lécapène
remettre_le_main_à_le_pâte 1 Mereu Haute-Prudence Oyarsabal Larretche Chafer
mettre_fin 1359 mettre_un_terme prendre_fin renoncer tourner_court mèner
